site_id,name,latitude,longitude,n_connectors,max_power_kw,connector_types,operator
Y24USFOI7R3GTSLAFUHM,Momo Oil Miajadas,39.1406,-5.92096,0,,Unknown,Unknown
Q5PFHUSAKY58NCL15R4E,Muebles La Factoria - Asturias,43.383102,-5.748537,0,,Unknown,Unknown
INIXR4JLNQ1JTCDTWRKV,Ibis Budget - Valencia Alcasser,39.36511,-0.430242,0,,Unknown,Unknown
RLWD3ELHW6SDAVSHPM21,Alcampo - Vilagarcía de Arousa,42.594414,-8.755006,0,,Unknown,Unknown
WDH9RS1C1GWUDZFKCADS,Supermercado Saladar - Xàbia,38.760918,0.199232,0,,Unknown,Unknown
NHXXQFIZHBNSCEFXMUQA,Centro Comercial Ruta de la Plata - Cáceres,39.468914,-6.390872,0,,Unknown,Unknown
M2FDJGN6TGIDIR3EPZJY,Ibis Barcelona - Aeropuerto Viladecans,41.321274,2.029129,0,,Unknown,Unknown
H2WBDVLC32TBF1WJMNY6,Twelve Pádel Zenter - Vigo,42.212193,-8.710245,0,,Unknown,Unknown
O8DRHJI2DZDX4RLXXUDY,Galp - El Astillero,43.404575,-3.835361,0,,Unknown,Unknown
76BZZQBZGN7Z4FSYENNE,Parque Comercial Arroyomolinos - Av. de Francia,40.281834,-3.922469,0,,Unknown,Unknown
NVPEIQGJCOHNVWDZKEQ8,Cash Borosa - Roquetas de Mar,36.77097,-2.613533,0,,Unknown,Unknown
4FMZLHQY3Y5WEQGQTCSZ,Parque Comercial Jaca,42.577766,-0.529058,0,,Unknown,Unknown
CISFYXOLBLUWVFEWDRG5,Centro Comercial L'Aljub - Elche,38.264095,-0.721607,0,,Unknown,Unknown
FISIKE0QPUV6VYW6WQQY,"Repsol ES, SALAS GESTIÓN DE CARBURANTES SAN",40.380363,-3.59776,0,,Unknown,Unknown
MFXV73HMUDLTTE39GHEC,"Repsol ES, GVP ARROYOMOLINO",40.302162,-3.922616,0,,Unknown,Unknown
DH3M2Z5GMQMMMOU8T7SR,"Mercadona, Carrequemada, Burgos",41.671883,-3.682322,0,,Unknown,Unknown
GNCBR8XX3OYEJOKLXOIO,"Repsol ES, Bazarra S.L.",42.966038,-9.193553,0,,Unknown,Unknown
UGKOJ4NCN8RVCQVNSUCO,"Repsol ES, CRED Calella",41.612648,2.652129,0,,Unknown,Unknown
DMLQOCUBWNW43SNXYMM1,"Repsol ES, Petronalca S.L.",43.219044,-2.408673,0,,Unknown,Unknown
RQ9JGT4VIDWSPM9E99G1,"Mercadona, Av. de las Palmeras, Málaga",36.591106,-4.535314,0,,Unknown,Unknown
OKEPNVSKUX5BS6NAXF2D,"Repsol ES, Maset S.A",42.31657,3.063787,0,,Unknown,Unknown
YM3RVGYBJCGXWU45A4NQ,"Repsol ES, Romeu-Reixach S.L.",41.952583,2.277876,0,,Unknown,Unknown
V22XCCDM4JXK8SWQ5XZB,"Repsol ES, Gasolinera el Jardín, S.L.",43.538563,-7.054475,0,,Unknown,Unknown
9IFTOVCNVTCGHQBPN4PY,"Repsol ES, EDUARDO ANTONIO CRUZ ESCOBOSA",36.841564,-2.945649,0,,Unknown,Unknown
SO0WOWTYM38YJR9CDUAY,"Repsol ES, CRED PUENTE SAN FDO. II",40.44985,-3.523931,0,,Unknown,Unknown
NZ6KXZSJAEPEX0R6MAJG,"Mercadona, Rubio I Ors, Barcelona",41.532803,2.116693,0,,Unknown,Unknown
0JYUB8FT81O3YHHN0JRE,"Repsol ES, PORTAL ALAGON MI",41.761143,-1.149449,0,,Unknown,Unknown
XIGMFF5WVSU4QGDVMJFS,"Repsol ES, Esecisa",40.48332,-3.705299,0,,Unknown,Unknown
U1AW5HXC77HRKDWDCGNK,"Mercadona, C. del Padre Melchor Prieto, Burgos",42.347374,-3.699332,0,,Unknown,Unknown
7JJQN3BSRUOIMOM23X3C,"Repsol ES, CASABLANCA-ARAGÓN",41.640594,-0.756763,0,,Unknown,Unknown
CMCHZOIT4ZY1CDO1OXW6,"Repsol ES, CRED DANTXARINEA",43.290203,-1.505163,0,,Unknown,Unknown
ZORXDNHMDJEFKM5OI0J4,"Repsol ES, CRED AREA 280 DIR. ZARAGOZA",41.516342,-1.287987,0,,Unknown,Unknown
CLUE0LUVSMHCGIOGIQ6O,"Mercadona, Los gallos, Cadiz",36.40058,-6.167905,0,,Unknown,Unknown
ICBOQVYRCVF6TVG82BTA,"Repsol ES,  ES ENERGIA DEL BAIX LLOBREGAT SL.",41.49002,1.912936,0,,Unknown,Unknown
ZPR67WNEFKD7JVP4ME7D,"Repsol ES, Pérez Santiago, S.L.",40.937485,-6.710694,0,,Unknown,Unknown
LLTTQOLRFLFOIUCERMAK,"Repsol ES, CRED MORA M.D",39.6932,-3.835679,0,,Unknown,Unknown
T3KV6BQ2X0DC3LIVYS3E,"Mercadona, Azuqueca de Henares, Guadalajara",40.635914,-3.225041,0,,Unknown,Unknown
6U7XDEDVN7AFCETBV7AB,"Repsol ES, CRED LAS PEDRIZAS M.I",36.917213,-4.439115,0,,Unknown,Unknown
